ID,Pos,Player,Team,Eligible,Status,Age,Opponent,IP,SV,HLD,K,ERA,WHIP,W+QS,GP,FANTRAXID,IDFANGRAPHS,MLBID,TBF,FIP,xFIP,SIERA,K-BB%,HardHit%,BABIP+,Stuff+,Location+,Pitching+,CSW%,Pitches,K%,BB%,est_woba_minus_woba_diff,era_minus_xera_diff,bip,brl_percent,ev95plus,avg_hit_speed,avg_hit_angle,team_name
*04k0w*,RP,Camilo Doval,SF,RP,Act,27,MIA Sun 3:05PM,46.1,22,1,60,4.47,1.619,5,48,*04k0w*,21992,666808.0,214.0,3.91,3.87,3.93,0.131,0.442,114.0,113.0,95.0,98.0,0.322,869.0,0.28,0.15,0.036,0.918,120.0,8.3,53.0,90.2,1.4,The Authority
*0689r*,RP,Yuki Matsui,SD,RP,Act,28,@TB Sun 12:40PM,58.2,0,9,63,3.38,1.125,4,59,*0689r*,33826,673513.0,238.0,3.58,3.94,3.62,0.16399999999999998,0.364,84.0,111.0,97.0,99.0,0.276,977.0,0.265,0.10099999999999999,0.004,0.465,151.0,6.6,55.0,88.2,17.0,The Authority
*041x9*,P,Graham Ashcraft,CIN,SP,Act,26,MIL Sun 11:10AM,77.1,0,0,57,5.24,1.5,8,15,*041x9*,27552,668933.0,350.0,4.83,4.57,4.68,0.086,0.42700000000000005,106.0,113.0,98.0,96.0,0.23600000000000002,1342.0,0.163,0.077,-0.0059999999999999,0.117,260.0,7.7,111.0,90.6,8.8,The Authority
*05144*,P,Hunter Brown,HOU,SP,Act,26,KC Sun 1:10PM,147.0,0,0,155,3.55,1.286,27,27,*05144*,25880,686613.0,616.0,3.68,3.56,3.82,0.16399999999999998,0.303,109.0,103.0,101.0,101.0,0.267,2498.0,0.252,0.08800000000000001,0.015,0.221,402.0,4.5,122.0,85.8,10.0,The Authority
*05mrx*,P,Gavin Stone,LAD,"SP,RP",Act,25,@ARI Sun 3:10PM,140.1,0,0,116,3.53,1.211,21,25,*05mrx*,27792,694813.0,559.0,3.9,4.06,4.23,0.136,0.359,97.0,99.0,103.0,101.0,0.265,2068.0,0.2,0.064,-0.008,-0.595,409.0,6.1,148.0,88.1,11.6,The Authority
*03aru*,P,Joel Payamps,MIL,RP,Act,30,@CIN Sun 11:10AM,50.2,6,17,48,3.55,1.026,3,58,*03aru*,14332,606303.0,205.0,4.08,4.03,3.65,0.161,0.44299999999999995,76.0,104.0,103.0,103.0,0.273,792.0,0.23399999999999999,0.073,-0.0539999999999999,-0.887,140.0,10.7,62.0,89.6,16.7,The Authority
*05jp9*,SP,Bryce Elder,ATL,SP,Res,25,@PHI Sun 6:10PM,49.2,0,0,46,6.52,1.631,5,10,*05jp9*,27779,693821.0,226.0,4.56,3.97,4.14,0.128,0.447,124.0,94.0,99.0,98.0,0.28600000000000003,864.0,0.204,0.075,0.026,1.543,161.0,8.7,73.0,89.9,8.1,The Authority
*04yid*,SP,Ryne Nelson,ARI,SP,Res,26,LAD Sun 3:10PM,136.1,0,0,112,4.22,1.276,20,25,*04yid*,26253,669194.0,572.0,3.73,4.05,4.14,0.14300000000000002,0.41200000000000003,107.0,99.0,106.0,104.0,0.24,2180.0,0.196,0.052000000000000005,0.006,-0.015,425.0,8.0,176.0,90.1,12.2,The Authority
*03svw*,RP,Bryan Hudson,MIL,RP,Res,27,@CIN Sun 11:10AM,60.2,0,13,60,1.78,0.709,6,42,*03svw*,19924,663542.0,224.0,3.58,3.56,3.17,0.201,0.363,51.0,80.0,103.0,102.0,0.28600000000000003,896.0,0.268,0.067,-0.052,-1.17,145.0,6.9,53.0,87.9,14.2,The Authority
*02j77*,RP,Chris Martin,BOS,RP,Res,38,@DET Sun 12:40PM,36.1,2,12,41,2.72,1.046,2,37,*02j77*,11847,455119.0,146.0,2.68,2.63,2.44,0.267,0.366,117.0,98.0,112.0,107.0,0.28,540.0,0.281,0.013999999999999999,0.003,-0.245,100.0,4.0,37.0,88.4,10.8,The Authority
*02mwd*,SP,Paul Blackburn,NYM,SP,IR,30,@CHW Sun 1:10PM,75.1,0,0,59,4.66,1.288,12,14,*02mwd*,14739,621112.0,316.0,4.63,4.16,4.35,0.12,0.35600000000000004,101.0,91.0,105.0,100.0,0.245,1212.0,0.187,0.066,-0.003,0.089,233.0,8.2,83.0,87.6,11.0,The Authority
*04a2t*,SP,Kodai Senga,NYM,SP,IR,31,@CHW Sun 1:10PM,5.1,0,0,9,3.38,0.563,1,1,*04a2t*,31838,673540.0,20.0,3.36,1.78,1.67,0.4,0.556,42.0,110.0,102.0,103.0,0.301,73.0,0.45,0.05,-0.122,-1.445,9.0,22.2,5.0,90.2,21.8,The Authority
*04eqa*,SP,Garrett Whitlock,BOS,"SP,RP",IR,28,@DET Sun 12:40PM,18.1,0,0,17,1.96,1.145,1,4,*04eqa*,20191,676477.0,75.0,3.34,3.87,4.2,0.133,0.36,94.0,104.0,101.0,102.0,0.255,321.0,0.22699999999999998,0.09300000000000001,-0.0479999999999999,-2.416,50.0,6.0,18.0,89.4,10.6,The Authority
*05r1d*,SP,Jordan Wicks,CHC,SP,IR,25,@WSH Sun 12:35PM,28.0,0,0,32,4.18,1.464,2,7,*05r1d*,30094,696136.0,128.0,3.1,3.8,3.8,0.172,0.369,120.0,95.0,103.0,101.0,0.249,519.0,0.25,0.078,0.013,0.169,84.0,7.1,32.0,88.3,13.1,The Authority
*04y9o*,SP,Jack Leiter,TEX,SP,Min,24,OAK Sun 1:35PM,13.1,0,0,11,12.82,2.4,0,4,*04y9o*,30146,683004.0,76.0,6.7,6.28,5.52,0.039,0.382,143.0,114.0,97.0,102.0,0.243,292.0,0.145,0.105,0.054,5.175,54.0,13.0,22.0,90.4,14.2,The Authority
*05yaz*,SP,Will Warren,NYY,SP,Min,25,STL Sun 12:35PM,21.2,0,0,26,9.55,1.846,0,5,*05yaz*,30182,701542.0,85.0,3.96,4.0,3.65,0.2,0.491,156.0,103.0,100.0,104.0,0.28300000000000003,360.0,0.271,0.071,0.0929999999999999,5.359,54.0,11.1,27.0,91.8,17.0,The Authority
*060eu*,RP,Ben Joyce,LAA,RP,Min,23,SEA Sun 3:07PM,31.2,3,8,29,2.27,1.2,1,28,*060eu*,31461,690829.0,131.0,3.36,3.86,3.79,0.115,0.365,97.0,117.0,95.0,97.0,0.275,505.0,0.221,0.107,-0.0159999999999999,-0.956,85.0,4.7,31.0,86.6,0.1,The Authority
*03d6n*,SP,Erick Fedde,STL,SP,Act,31,@NYY Sun 12:35PM,154.2,0,0,137,3.43,1.157,19,27,*03d6n*,17425,607200.0,637.0,4.05,4.15,4.18,0.14300000000000002,0.36200000000000004,92.0,91.0,104.0,100.0,0.252,2534.0,0.215,0.07200000000000001,-0.015,-0.467,450.0,8.2,163.0,88.3,14.8,The Geriatric and Injured
*04eld*,SP,J.P. Sears,OAK,SP,Act,28,@TEX Sun 1:35PM,151.2,0,0,117,4.21,1.207,22,27,*04eld*,23429,676664.0,633.0,4.56,4.74,4.51,0.122,0.397,97.0,91.0,100.0,95.0,0.267,2401.0,0.185,0.063,0.0,-0.077,462.0,9.7,185.0,89.2,17.4,The Geriatric and Injured
*02n96*,RP,Josh Hader,HOU,RP,Act,30,KC Sun 1:10PM,60.1,29,0,90,3.28,0.912,7,60,*02n96*,14212,623352.0,234.0,3.39,2.85,2.28,0.299,0.39,78.0,130.0,98.0,110.0,0.327,991.0,0.385,0.085,-0.001,0.712,123.0,10.6,48.0,89.7,21.5,The Geriatric and Injured
*041wv*,RP,Michael King,SD,"SP,RP",Act,29,@TB Sun 12:40PM,150.2,0,0,177,3.05,1.208,23,27,*041wv*,19853,650633.0,632.0,3.44,3.54,3.66,0.19,0.303,98.0,93.0,102.0,100.0,0.315,2523.0,0.28,0.09,-0.007,-0.454,393.0,6.1,120.0,85.4,14.5,The Geriatric and Injured
