,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,LD%,GB%,FB%,IFFB%,Pull%,SwStr%,PlayerId,EDB Team,TWTC Team,BL Team
69,Blaze Alexander,ARI,AAA,25,27,107,120,27,16,6,2,3,14,9,10,37,3,1,1,0.083333333,0.308333333,0.252336448,0.333333333,0.429906542,0.763239875,0.177570094,0.358208955,0.339635998010635,89.3265549620807,0.285714285,0.471428571,0.242857142,0.058823529,0.42857143,0.13655462,23789,The Geriatric and Injured,,
70,Alek Thomas,ARI,"AAA,CPX",24,14,48,54,14,8,4,0,2,10,11,4,8,0,0,0,0.074074074,0.148148148,0.291666666,0.333333333,0.5,0.833333333,0.208333334,0.3,0.362848834859,97.6326721453507,0.243902439,0.414634146,0.341463414,0.285714285,0.30952381,0.08187135,23792,,,
71,Jordan Groshans,NYY,"AA,AAA",24,83,278,312,63,49,11,1,2,38,24,32,53,1,0,2,0.102564102,0.169871794,0.226618705,0.307692307,0.294964028,0.602656335,0.068345323,0.272321428,0.286423379029983,72.8161311739635,0.218181818,0.409090909,0.372727272,0.25609756,0.44493392,0.08658744,23794,,,The 2002 Oakland A's
72,Parker Meadows,DET,AAA,24,51,202,237,59,37,11,3,8,39,25,30,45,3,19,5,0.126582278,0.189873417,0.292079207,0.388185654,0.495049504,0.883235158,0.202970297,0.337748344,0.389543739415831,128.377765706636,0.216560509,0.375796178,0.407643312,0.28125,0.47169811,0.09004237,23800,,Tucker Good Then Naylor,
73,Ji Hwan Bae,PIT,"A,AAA",24,49,186,217,67,52,8,2,5,36,27,26,50,1,12,3,0.119815668,0.230414746,0.360215053,0.437209302,0.505376344,0.942585646,0.145161291,0.466165413,0.420912999137539,148.435247501689,0.259259259,0.488888888,0.251851851,0.117647058,0.29496403,0.09342561,23818,,,
74,Jorge Barrosa,ARI,"AAA,CPX",23,57,209,240,59,38,13,2,6,38,34,25,43,3,6,5,0.104166666,0.179166666,0.28229665,0.364016736,0.449760765,0.813777501,0.167464115,0.327160493,0.364916491707997,104.234597641329,0.216867469,0.487951807,0.295180722,0.224489795,0.38235294,0.08038585,23968,,,
75,Osleivis Basabe,TBR,"AAA,CPX",23,49,181,205,44,36,1,2,5,25,26,17,29,3,3,4,0.082926829,0.141463414,0.243093922,0.312195121,0.35359116,0.665786281,0.110497238,0.258278145,0.309167520011343,74.3595422625509,0.151315789,0.539473684,0.309210526,0.212765957,0.42948718,0.10041265,23985,,,
76,Curtis Mead,TBR,AAA,23,60,234,263,65,39,11,5,10,39,32,17,44,9,5,3,0.064638783,0.16730038,0.277777777,0.346007604,0.495726495,0.841734099,0.217948718,0.300546448,0.367264351464043,114.097204769121,0.219251336,0.363636363,0.417112299,0.256410256,0.4507772,0.10733262,23986,The Authority,Snells Like Team Spirit,Gus’s Goons
77,Jhonkensy Noel,CLE,AAA,22,65,258,284,76,41,15,2,18,41,59,19,60,7,1,0,0.066901408,0.211267605,0.294573643,0.359154929,0.577519379,0.936674308,0.282945736,0.322222222,0.402809924642804,136.881076791847,0.206185567,0.407216494,0.386597938,0.346666666,0.45959596,0.1409396,24257,The Geriatric and Injured,Super Duper Melonheads,Back to the Minors
78,Liover Peguero,PIT,AAA,23,100,380,431,96,62,22,3,9,54,62,38,106,2,11,2,0.088167053,0.245939675,0.252631578,0.317757009,0.397368421,0.71512543,0.144736843,0.318681318,0.319112826452077,83.2332156570459,0.209386281,0.458483754,0.332129963,0.195652173,0.53684211,0.1425164,24273,,,Woo-Suk Go Away
79,Jose Rodriguez,PHI,AA,23,38,147,164,39,25,9,1,4,30,18,13,21,2,12,2,0.079268292,0.12804878,0.265306122,0.329268292,0.421768707,0.751036999,0.156462585,0.282258064,0.33985549574945,111.915144916175,0.241666666,0.383333333,0.375,0.244444444,0.484375,0.10627178,24388,,,
80,Jonathan Ornelas,TEX,AAA,24,76,283,316,69,55,8,3,3,34,24,27,73,4,8,1,0.085443037,0.231012658,0.243816254,0.317460317,0.325088339,0.642548656,0.081272085,0.317307692,0.297509272956544,63.0455444231389,0.213592233,0.597087378,0.189320388,0.256410256,0.38207547,0.09228321,24597,,,
81,Addison Barger,TOR,AAA,24,57,204,249,53,29,15,0,9,41,38,40,48,4,4,1,0.16064257,0.192771084,0.259803921,0.391129032,0.465686274,0.856815306,0.205882353,0.299319727,0.386164930799315,126.212029266803,0.344155844,0.402597402,0.253246753,0.205128205,0.48717949,0.08097928,24598,,Off Often,
82,Bryan Lavastida,CLE,AAA,25,66,228,261,59,33,17,1,8,39,34,27,58,5,21,4,0.103448275,0.222222222,0.258771929,0.35,0.447368421,0.797368421,0.188596492,0.314814814,0.356741467347511,107.352284837311,0.221556886,0.526946107,0.251497005,0.142857142,0.45614035,0.11406844,24765,,,
83,Andy Pages,LAD,AAA,23,15,62,73,23,14,3,1,5,16,15,8,13,2,2,1,0.109589041,0.178082191,0.370967741,0.452054794,0.693548387,1.145603181,0.322580646,0.4,0.48121593586386,177.652049859814,0.204081632,0.346938775,0.448979591,0.136363636,0.44,0.10144928,24816,The Geriatric and Injured,Hoerner for Nico,The Jobu’s
84,Austin Shenton,TBR,AAA,26,67,247,289,63,38,11,1,13,34,51,39,88,2,0,0,0.134948096,0.304498269,0.255060728,0.359861591,0.465587044,0.825448635,0.210526316,0.340136054,0.367206785093129,114.060306086376,0.245283018,0.389937106,0.364779874,0.068965517,0.41875,0.14089347,25425,,,
85,Greg Jones,COL,"AAA,CPX",26,60,246,281,65,38,15,2,10,62,30,29,97,4,32,1,0.103202846,0.345195729,0.264227642,0.35,0.463414634,0.813414634,0.199186992,0.392857142,0.359188058759484,101.461916046094,0.246575342,0.54109589,0.212328767,0.064516129,0.34437086,0.16578014,25448,,,
86,Cam Eden,NYY,AAA,26,95,293,344,62,41,11,3,7,38,37,41,91,3,28,7,0.119186046,0.264534883,0.211604095,0.311764705,0.341296928,0.653061633,0.129692833,0.277777777,0.300144465975353,70.9501916221676,0.227722772,0.455445544,0.316831683,0.21875,0.41826923,0.13113497,25476,,,
87,Nick Sogard,BOS,AAA,26,89,344,406,96,66,17,1,12,62,54,56,83,3,10,5,0.137931034,0.204433497,0.279069767,0.381773399,0.438953488,0.820726887,0.159883721,0.333333333,0.370305233090012,116.046337997439,0.310077519,0.368217054,0.321705426,0.120481927,0.43181818,0.07963526,25483,,,
88,Aaron Schunk,COL,AAA,26,69,275,299,80,47,24,2,7,36,43,19,53,2,11,5,0.06354515,0.177257525,0.29090909,0.338926174,0.469090909,0.808017083,0.178181819,0.336405529,0.353030686610497,97.6829119256663,0.28110599,0.373271889,0.345622119,0.173333333,0.44888889,0.12841254,25524,,,
89,Marco Luciano,SFG,AAA,22,69,263,324,63,46,9,0,8,44,36,58,89,2,3,3,0.179012345,0.274691358,0.239543726,0.379629629,0.365019011,0.74464864,0.125475285,0.329341317,0.349498173031644,95.479132104767,0.264367816,0.48275862,0.252873563,0.204545454,0.43428571,0.12116788,25616,Savannah Bananas,Tha killer b's,
90,Bryan Ramos,CHW,"AA,AAA",22,74,276,314,61,38,16,0,7,34,31,25,74,6,8,2,0.079617834,0.235668789,0.221014492,0.297734627,0.355072463,0.65280709,0.134057971,0.274111675,0.30004278992372,77.0278725891243,0.227272727,0.398989898,0.373737373,0.229729729,0.41,0.13833333,25621,Aidand4,,
