ID,Pos,Player,Team,Eligible,Status,Age,Opponent,AB,H,R,HR,RBI,SO,SB,OPS,GP,FANTRAXID,IDFANGRAPHS,MLBID,wOBA,xwOBA,BABIP+,K%,BB%,wRC+,PA,Contact%,Swing%,Pitches,Z-Swing%,O-Swing%,HardHit%,Zone%,est_woba_minus_woba_diff,est_slg_minus_slg_diff,est_ba_minus_ba_diff,bip,brl_pa,ev95plus,avg_hit_speed,avg_hit_angle,ev50,Swings,Swing Decisions,Z-Pitches,Z-Swings,O-Pitches,O-Swings,team_name
*04aq4*,OF,Adolis Garcia,TEX,OF,Act,31,@SEA Fri 9:10PM,529,116,62,22,74,159,11,0.671,141,*04aq4*,19287,666969.0,0.29,0.308,92.0,0.271,0.071,87.0,579.0,0.6779999999999999,0.523,2273.0,0.7609999999999999,0.376,0.48,0.381,-0.018,-0.0309999999999999,-0.007,375.0,8.3,180.0,91.2,15.7,101.8,1188.779,38.49999999999999,866.013,659.035893,1406.987,529.027112,Rantiago
*041q6*,OF,Nolan Jones,COL,OF,Act,26,CHC Fri 7:40PM,220,47,26,3,22,81,4,0.623,67,*041q6*,20529,666134.0,0.278,0.284,107.0,0.316,0.121,64.0,256.0,0.753,0.396,1127.0,0.57,0.267,0.455,0.425,-0.0059999999999999,-0.009,0.005,143.0,3.1,65.0,88.5,7.5,101.2,446.29200000000003,30.299999999999994,478.97499999999997,273.01574999999997,648.025,173.022675,Rantiago
*04esz*,OF,Chas McCormick,HOU,OF,Act,29,@LAA Fri 8:38PM,242,51,32,5,27,72,8,0.576,94,*04esz*,19599,676801.0,0.257,0.29,96.0,0.27,0.064,66.0,267.0,0.6990000000000001,0.526,1011.0,0.774,0.35600000000000004,0.32799999999999996,0.40700000000000003,-0.0329999999999999,-0.063,-0.016,174.0,4.9,57.0,86.2,15.2,97.9,531.7860000000001,41.8,411.47700000000003,318.483198,599.523,213.43018800000004,Rantiago
*03atq*,UT,Willy Adames,MIL,SS,Act,29,@ARI Fri 8:40PM,553,139,85,30,102,155,18,0.799,146,*03atq*,15986,642715.0,0.344,0.348,100.0,0.249,0.10800000000000001,121.0,622.0,0.74,0.49,2468.0,0.73,0.312,0.396,0.42700000000000005,-0.004,-0.0129999999999999,0.001,399.0,7.7,159.0,88.5,20.2,99.6,1209.32,41.8,1053.836,769.30028,1414.164,441.21916799999997,Rantiago
*03pje*,UT,Taylor Ward,LAA,OF,Act,30,HOU Fri 8:38PM,524,130,67,23,67,150,4,0.758,140,*03pje*,17548,621493.0,0.328,0.353,104.0,0.253,0.091,111.0,592.0,0.767,0.434,2302.0,0.6809999999999999,0.23600000000000002,0.435,0.445,-0.0249999999999999,-0.0419999999999999,-0.009,382.0,9.0,167.0,91.1,16.7,100.2,999.068,44.49999999999999,1024.39,697.60959,1277.61,301.51596,Rantiago
*02yh5*,2B,Amed Rosario,CIN,"2B,3B,SS,OF",Res,28,@MIN Fri 7:10PM,325,93,29,3,32,70,13,0.7,100,*02yh5*,15518,642708.0,0.306,0.285,124.0,0.204,0.027000000000000003,100.0,338.0,0.7879999999999999,0.5529999999999999,1178.0,0.743,0.424,0.36700000000000005,0.40399999999999997,0.021,0.018,0.0309999999999999,256.0,3.6,94.0,87.0,4.1,98.7,651.434,31.900000000000002,475.912,353.60261599999995,702.0880000000001,297.685312,Rantiago
*03bud*,OF,Bryan De La Cruz,PIT,OF,Res,27,KC Fri 5:40PM,544,128,57,19,63,155,4,0.658,138,*03bud*,19600,650559.0,0.285,0.308,99.0,0.268,0.047,79.0,578.0,0.731,0.534,2227.0,0.773,0.369,0.415,0.409,-0.023,-0.0489999999999999,-0.012,392.0,6.4,164.0,89.5,13.6,99.9,1189.218,40.400000000000006,910.843,704.081639,1316.157,485.661933,Rantiago
*01vja*,OF,Max Kepler,MIN,OF,Res,31,CIN Fri 7:10PM,368,93,43,8,42,80,1,0.682,105,*01vja*,12144,596146.0,0.298,0.302,105.0,0.201,0.055,93.0,399.0,0.78,0.521,1499.0,0.76,0.35600000000000004,0.366,0.409,-0.004,-0.007,0.006,291.0,4.5,107.0,88.9,16.8,99.6,780.979,40.4,613.091,465.94916,885.909,315.38360400000005,Rantiago
*01cdf*,OF,Giancarlo Stanton,NYY,OF,Res,34,BOS Fri 6:05PM,381,88,44,25,62,128,0,0.764,103,*01cdf*,4949,519317.0,0.327,0.359,95.0,0.307,0.073,113.0,411.0,0.6940000000000001,0.467,1642.0,0.648,0.34299999999999997,0.5379999999999999,0.406,-0.0319999999999999,-0.061,-0.0249999999999999,253.0,12.9,136.0,94.4,15.8,108.0,766.8140000000001,30.500000000000004,666.652,431.99049600000006,975.348,334.544364,Rantiago
*041z2*,OF,Jack Suwinski,PIT,OF,Res,26,KC Fri 5:40PM,247,45,29,9,26,79,9,0.588,88,*041z2*,22244,669261.0,0.259,0.295,76.0,0.285,0.09699999999999999,62.0,277.0,0.76,0.46399999999999997,1114.0,0.7140000000000001,0.261,0.382,0.449,-0.0359999999999999,-0.0449999999999999,-0.041,170.0,5.4,65.0,88.9,12.9,100.9,516.896,45.300000000000004,500.18600000000004,357.1328040000001,613.814,160.205454,Rantiago
